pl_name,hostname,ra,dec
OGLE-TR-10 b,OGLE-TR-10,267.8677483,-29.8764758
BD-08 2823 c,BD-08 2823,150.1971964,-9.5165689
HD 110014 b,HD 110014,189.8111935,-7.9956702
GJ 667 C f,GJ 667 C,259.7510609,-34.9977651
GJ 667 C g,GJ 667 C,259.7510609,-34.9977651
GJ 667 C c,GJ 667 C,259.7510609,-34.9977651
KOI-13 b,KOI-13,286.9713876,46.8682463
KELT-7 b,KELT-7,78.2955912,33.3179532
HATS-61 b,HATS-61,61.6578005,-25.3496674
HATS-63 b,HATS-63,67.418582,-28.1972149
HD 108236 c,HD 108236,186.5740627,-51.3630519
TOI-1224 b,TOI-1224,37.1978356,-80.8991053
TOI-1224 c,TOI-1224,37.1978356,-80.8991053
HD 48948 b,HD 48948,102.489811,60.3373133
HD 48948 c,HD 48948,102.489811,60.3373133
HD 48948 d,HD 48948,102.489811,60.3373133
WASP-76 b,WASP-76,26.632936,2.700389
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,270.30375,-27.4267639
PDS 70 b,PDS 70,212.0421402,-41.3980405
bet Pic b,bet Pic,86.8212337,-51.066148
51 Eri b,51 Eri,69.4007424,-2.4738245
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,194.008964,-12.956031
GQ Lup b,GQ Lup,237.3003643,-35.6515055
PDS 70 c,PDS 70,212.0421402,-41.3980405
bet Pic c,bet Pic,86.8212337,-51.066148
2MASS J12073346-3932539 b,2MASS J12073346-3932539,181.8890906,-39.5484399
TOI-5704 b,TOI-5704,169.8248694,44.9890782
HD 23472 d,HD 23472,55.4590314,-62.7672667
TOI-672 b,TOI-672,167.9908627,-39.3281151
TOI-199 b,TOI-199,80.1058735,-59.8954326
TOI-199 c,TOI-199,80.1058735,-59.8954326
KELT-18 b,KELT-18,216.5238248,59.4442735
TOI-2096 c,TOI-2096,151.6186989,74.8272107
HIP 5158 b,HIP 5158,16.5094891,-22.4536134
TOI-4087 b,TOI-4087,217.9257785,83.3727061
HD 132563 b,HD 132563,224.5892892,44.0428571
HD 20794 c,HD 20794,49.9997666,-43.0666533
HD 20794 d,HD 20794,49.9997666,-43.0666533
CHXR 73 b,CHXR 73,166.6193985,-77.6258725
alf Ari b,alf Ari,31.793286,23.462421
Kepler-370 c,Kepler-370,292.1710683,40.9162381
